country,city,date,congestion,diffRatio
Saudi Arabia,Riyadh,2021-02-07,6,-0.5714285714285714
Saudi Arabia,Riyadh,2021-02-08,5,-0.6666666666666666
Saudi Arabia,Riyadh,2021-02-09,5,-0.6666666666666666
Saudi Arabia,Riyadh,2021-02-10,6,-0.6
Saudi Arabia,Riyadh,2021-02-11,6,-0.6666666666666666
Saudi Arabia,Riyadh,2021-02-12,3,-0.7
Saudi Arabia,Riyadh,2021-02-13,3,-0.6666666666666666
Saudi Arabia,Riyadh,2021-02-14,5,-0.6428571428571429
Saudi Arabia,Riyadh,2021-02-15,5,-0.6666666666666666
Saudi Arabia,Riyadh,2021-02-16,5,-0.6666666666666666
Saudi Arabia,Riyadh,2021-02-17,5,-0.6666666666666666
Saudi Arabia,Riyadh,2021-02-18,9,-0.5
Saudi Arabia,Riyadh,2021-02-19,5,-0.5
Saudi Arabia,Riyadh,2021-02-20,9,0.0
Saudi Arabia,Riyadh,2021-02-21,5,-0.6428571428571429
Saudi Arabia,Riyadh,2021-02-22,4,-0.7333333333333333
Saudi Arabia,Riyadh,2021-02-23,4,-0.7333333333333333
Saudi Arabia,Riyadh,2021-02-24,4,-0.7333333333333333
Saudi Arabia,Riyadh,2021-02-25,8,-0.5555555555555556
Saudi Arabia,Riyadh,2021-02-26,4,-0.6
Saudi Arabia,Riyadh,2021-02-27,5,-0.4444444444444444
Saudi Arabia,Riyadh,2021-02-28,5,-0.6428571428571429
Saudi Arabia,Riyadh,2021-03-01,7,-0.5333333333333333
Saudi Arabia,Riyadh,2021-03-02,8,-0.4666666666666667
Saudi Arabia,Riyadh,2021-03-03,8,-0.4666666666666667
Saudi Arabia,Riyadh,2021-03-04,9,-0.5
Saudi Arabia,Riyadh,2021-03-05,4,-0.6
Saudi Arabia,Riyadh,2021-03-06,6,-0.3333333333333333
Saudi Arabia,Riyadh,2021-03-07,6,-0.5714285714285714
Saudi Arabia,Riyadh,2021-03-08,6,-0.6
Saudi Arabia,Riyadh,2021-03-09,7,-0.5333333333333333
